Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,stop_trials,correct_inhibits,false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT
69,1,5,5,Treasure_Collect,1,157,29.9363057324841,57.9617834394904,91,77,110,21,21,10,0.0909090909090909,47,14,33,0.190909090909091,0.7,0.702127659574468,0.297872340425532,0.973038229376258,0.344021381756241,-0.702540451067187,805.744444434259,812.139393945454,58.5714285714286,46.5259320129778,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,756.327380946429,615.732467514286,1277.70967742903,466.554851452192,438.494282741478,328.80677795241,423.834231998507,464.139073271494,0.579035765837363,0.579767827779511,0.534009160309192,0.331714034483431,0.571501735701626
69,1,6,6,Conveyor_Belt,1,140,51.4285714285714,43.5714285714286,61,45,68,19,19,3,0.0441176470588235,72,16,56,0.279411764705882,0.661764705882353,0.777777777777778,0.222222222222222,1.07936507936508,-0.180119816726914,-0.67464976542293,992.686567150746,752.385714324071,136.111111111111,80.1504844432928,1403.58888888889,1412.58888888889,0,1539.7,1548.7,1548.7,,,"took last RT, length(RT) < n3",0,1115.52674417558,801.057777764444,1384.65454544091,446.861273612758,457.041157745274,318.564749019967,418.694598031566,382.916564574173,0.450153440572244,0.40970883049787,0.397680114796466,0.302381990807854,0.508936516582026
69,1,7,7,AB_Driving,1,79,29.1139240506329,60.7594936708861,48,29,56,27,27,0,0,23,19,4,0.482142857142857,0.517857142857143,0.173913043478261,0.826086956521739,0.335832083958021,0.98359049357242,0.447019070090694,1219.17857142857,1061,754.347826086957,204.446616436497,-12.3478260869565,190.652173913043,215.652173913043,742,945,970,SSRT1 is negative,,"",0,1325.81927710843,926.620689655172,1533.40740740741,358.187259665964,331.554106410281,261.04821856085,2.88576425364847,184.555321426034,0.293793926550283,0.250074887380872,0.281720688384364,0.00188192925096635,0.17394469502925
69,1,7,7,Conveyor_Belt,1,89,49.438202247191,59.5505617977528,53,35,45,8,8,2,0.0444444444444444,44,18,26,0.177777777777778,0.777777777777778,0.590909090909091,0.409090909090909,0.718673218673219,0.693982903165081,-0.576875569161772,1031.35555555556,849.153846153846,176.136363636364,115.38038020091,829.863636363636,1045.86363636364,1065.86363636364,1006,1222,1242,,,"",0,1109.18867924528,940.6,1349,345.708505401691,368.590666051306,273.406420166453,397.189571307651,366.348434396293,0.335198180239083,0.332306552481317,0.290672358246283,0.294432595483804,0.431427633585634
69,1,7,7,Mining,2,18,33.3333333333333,55.5555555555556,10,6,12,4,4,1,0.0833333333333333,6,4,2,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.861454598590915,-1.38777878078145e-16,1083.36363636364,352,108.333333333333,37.638632635454,632.666666666667,1130.66666666667,1319.66666666667,741,1239,1428,,,"",0,1205.4,943.333333333333,1251.4,552.693635340099,511.931468627812,486.120424037775,635.276553951112,472.347329832614,0.510164469979113,0.424698414325379,0.515322004280327,0.507652672168061,1.34189582338811
69,1,8,8,HR_Driving,2,107,29.9065420560748,63.5514018691589,68,62,75,11,11,0,0,32,6,26,0.146666666666667,0.826666666666667,0.8125,0.1875,0.9521484375,0.163690714864351,-0.968991916451052,723.561643835616,345.076923076923,59.375,23.5464537429942,1344.625,1474.625,1475.625,1404,1534,1535,,,"",0,831.392857142857,579.483870967742,1535.63636363636,479.84320316066,527.094857100788,362.971422888842,4.24906406806787,241.58309925604,0.663168379983495,0.633990119799908,0.626370190912608,0.00276697281249979,0.700084772699181
69,1,8,8,Mining,2,103,31.0679611650485,72.8155339805825,75,60,71,9,9,2,0.028169014084507,32,15,17,0.126760563380282,0.845070422535211,0.53125,0.46875,0.608366935483871,1.0634261574124,-0.610125491439314,792.070422535211,647.823529411765,129.6875,58.0035802565725,590.3125,635.3125,637.3125,720,765,767,,,"",0,876.55,674.85,1431.45454545455,424.456806617711,465.459672076018,319.553015415309,355.717124590977,609.462389661384,0.535882662123823,0.531013258885423,0.473517100711728,0.248500468087181,0.94078458405916
70,1,1,1,AB_Driving,0,86,29.0697674418605,76.7441860465116,66,50,61,3,3,8,0.131147540983607,25,16,9,0.0491803278688525,0.819672131147541,0.36,0.64,0.378620689655172,2.0113124257682,-0.647197419632906,820.540983606557,790.333333333333,328,113.724814061547,325,335,335,653,663,663,,,"",0,854.078125,784.74,983.272727272727,268.867660988976,303.447142683496,223.085030919621,392.864630861342,273.274587182929,0.327671214918737,0.35529202048524,0.284278908835564,0.399547978871557,0.345771303900795
70,1,1,1,HR_Driving,1,16,37.5,68.75,11,9,10,1,1,0,0,6,2,4,0.1,0.9,0.666666666666667,0.333333333333333,0.740740740740741,0.850824266249143,-0.856139432420029,962,664.25,108.333333333333,58.4522597225006,910.666666666667,991.666666666667,991.666666666667,1019,1100,1100,,,"",0,1014.18181818182,898.222222222222,1536,333.111592913446,360.304542902756,281.19956337883,0,128.624453351608,0.346269847103374,0.355266221937102,0.313062354083309,0,0.193638620025003
70,1,1,1,Mining,1,104,29.8076923076923,75.9615384615385,79,63,73,9,9,1,0.0136986301369863,31,16,15,0.123287671232877,0.863013698630137,0.483870967741935,0.516129032258065,0.551915322580645,1.19914822981723,-0.55913360634297,783.808219178082,529.2,227.41935483871,52.9759531570997,460.58064516129,477.58064516129,477.58064516129,688,705,705,,,"",0,867.463414634146,677.31746031746,1454.7,337.822712278951,398.632173508483,195.795056232426,263.466654014844,174.362184628925,0.431001747638216,0.459537735867059,0.28907427861177,0.181114081264071,0.329482586222459
70,1,2,2,AB_Driving,1,175,29.7142857142857,79.4285714285714,139,112,123,9,9,2,0.016260162601626,52,27,25,0.0731707317073171,0.910569105691057,0.480769230769231,0.519230769230769,0.518724696356275,1.50079925436793,-0.702176553628041,977.918699186992,844.36,585.576923076923,149.946571681297,340.423076923077,389.423076923077,389.423076923077,926,975,975,,,"",0,1016.7196969697,929.580357142857,1470.09090909091,302.691088364595,325.668128607555,268.256890406047,162.434266425194,269.115662866359,0.309525821130368,0.320312599016425,0.288578484199641,0.110492667780418,0.318721472910085
70,1,2,2,Chest_Picking,1,202,50,70.2970297029703,142,79,101,17,17,5,0.0495049504950495,101,63,38,0.168316831683168,0.782178217821782,0.376237623762376,0.623762376237624,0.452380952380952,1.27621516846582,-0.32273034677025,990.277227722772,833.342105263158,349.50495049505,220.510209458083,471.49504950495,538.49504950495,540.49504950495,821,888,890,,,"",0,1070.62711864407,889.544303797468,1352,357.65061495297,384.724405669984,245.404051826849,458.455689295726,374.032754478101,0.361162111922354,0.359344910072175,0.275876143300809,0.339094444745359,0.448834580799186
70,1,2,2,HR_Driving,2,13,30.7692307692308,76.9230769230769,10,8,9,1,1,0,0,4,2,2,0.111111111111111,0.888888888888889,0.5,0.5,0.5625,1.22064034884735,-0.610320174423675,1002.88888888889,689.5,75,28.8675134594813,864,864,978,939,939,1053,,,"",0,1056.1,936.375,1535,244.39386471659,285.31754239794,150.850860597005,0,71.4177848998413,0.243689871753746,0.270161483190928,0.161100905723674,0,0.103579093400785
70,1,3,3,AB_Driving,2,89,29.2134831460674,78.6516853932584,70,61,63,1,1,1,0.0158730158730159,26,9,17,0.0158730158730159,0.968253968253968,0.653846153846154,0.346153846153846,0.66439205955335,1.75186858774156,-1.27165958968527,693.714285714286,560.882352941176,378.846153846154,126.627861802272,319.153846153846,319.153846153846,319.153846153846,698,698,698,,,"",0,706.84375,678.065573770492,1171,188.904006051497,214.827373942983,156.969940737333,513.359523141434,136.446822220665,0.272308081210972,0.303924840451631,0.231496697088568,0.438394127362454,0.243271733377168
70,1,3,3,Treasure_Collect,2,126,30.1587301587302,80.1587301587302,101,82,88,5,5,1,0.0113636363636364,38,19,19,0.0568181818181818,0.931818181818182,0.5,0.5,0.530120481927711,1.58205785470936,-0.791028927354678,802.125,565.473684210526,288.157894736842,75.7255093995838,413.842105263158,441.842105263158,441.842105263158,702,730,730,,,"",0,841.311827956989,749.19512195122,1525.5,279.962961938667,318.496432936636,206.366175751816,4.27784992724149,202.852537688794,0.349026600515713,0.37857120553037,0.275450506423949,0.00280422807423237,0.35873028816894
70,1,4,4,HR_Driving,3,100,30,84,84,69,70,0,0,0,0,30,15,15,0,0.985714285714286,0.5,0.5,0.5,5.73072886926708,-2.86536443463354,727.188405797101,576.133333333333,231.666666666667,84.5712649223997,464.333333333333,464.333333333333,464.333333333333,696,696,696,,,"",0,727.188405797101,727.188405797101,NaN,261.956399344844,261.956399344844,261.956399344844,NaN,165.256452939349,0.360231815106709,0.360231815106709,0.360231815106709,NaN,0.286837166638537
70,1,4,4,Mining,3,100,30,85,85,67,70,3,3,0,0,30,18,12,0.0428571428571429,0.957142857142857,0.4,0.6,0.417910447761194,1.97179864652683,-0.732552220127613,883.214285714286,607.75,391.666666666667,60.2914377939718,412.333333333333,422.333333333333,422.333333333333,804,814,814,,,"",0,910.452054794521,853.626865671642,1544,253.194024980279,281.04700284511,215.140041482561,1.73205080756888,137.273532508174,0.286673380487174,0.308689514582445,0.25203054183784,0.00112179456448761,0.225871711243396
