Participant,Group,Tot_session,Inc_session,Excludegame,Game,BonusGames,TotalTrials,Perc_correct,CorrResponses,hits,latehits,go_trials,go_omissions,go_omissions_all,go_error,stop_trials,P_Hit,P_go_errors,P_go_omission,mean_all_goRT,mean_all_goRT_2SD,mean_Corr_goRT,mean_Corr_goRT_2SD,std_all_goRT,std_all_goRT_2SD,std_Corr_goRT,std_Corr_goRT_2SD,CovVar_all_goRT,CovVar_all_goRT_2SD,CovVar_Corr_goRT,CovVar_Corr_goRT_2SD,mean_Stim_dur
41,3,9,8,0,Mining,9,119,77.3109243697479,92,92,0,119,19,19,7,0,0.773109243697479,0.0588235294117647,0.159663865546218,398.983898289831,386.848275846552,511.740217371739,493.13448273908,271.152749692488,256.965547836297,190.248750442621,155.26145901863,0.679608251998974,0.664254085853096,0.371768221422433,0.314846080436804,805.601715958475
41,3,10,9,0,Chest_Picking,9,125,69.6,87,87,0,125,29,29,6,0,0.696,0.048,0.232,334.245901639344,334.245901639344,468.712643678161,475.814814814815,236.592242995992,236.592242995992,122.464888945057,95.2798655423998,0.707838875018663,0.707838875018663,0.26127925200402,0.200245689238328,642.857934401639
41,3,10,9,0,HR_Driving,9,105,63.8095238095238,67,67,0,105,19,19,0,0,0.638095238095238,0,0.180952380952381,251.825581395349,211.240963855422,323.238805970149,273.953125,283.676418471322,180.466508639479,283.205412631904,157.91583348819,1.12647975197551,0.854315873899318,0.876149173308288,0.576433773070449,338.736649809901
41,3,11,10,0,HR_Driving,9,106,52.8301886792453,56,56,0,106,13,13,0,0,0.528301886792453,0,0.122641509433962,288.068115955072,210.916666680303,354.941071444643,262.650943413208,431.266535050338,168.789329376754,453.635063075923,147.522648322318,1.49709916219121,0.800265488893757,1.27805740042872,0.561668069435535,353.955648357714
41,3,11,10,0,Treasure_Collect,10,165,59.3939393939394,98,98,0,165,35,35,23,0,0.593939393939394,0.139393939393939,0.212121212121212,181.530128227564,169.461184226974,288.966326566326,274.022340452127,172.235613381462,155.716280500174,126.639273392658,102.027028018756,0.94879905095175,0.918890548360682,0.438249241347472,0.372331058301358,686.266357329487
41,3,12,11,0,Conveyor_Belt,10,199,58.2914572864322,116,116,0,199,54,54,19,0,0.582914572864322,0.0954773869346734,0.271356783919598,266.093650796296,254.159139788172,433.549137935345,421.459649127193,253.059677932291,235.503487884813,177.365958923597,152.358120094784,0.951017347369993,0.926598540115819,0.409102321753544,0.361501084173313,839.116460225
41,3,12,11,0,HR_Driving,10,120,56.6666666666667,68,68,0,120,27,27,0,0,0.566666666666667,0,0.225,133.303157923158,123.352747285714,186.232352980882,172.919047668254,104.2294925587,94.6344397695968,72.370445096814,56.3974400599283,0.781898149920673,0.767185505405899,0.388602967950704,0.326149379264031,231.438152003571
41,3,13,12,0,AB_Driving,10,85,65.8823529411765,56,56,0,85,16,16,13,0,0.658823529411765,0.152941176470588,0.188235294117647,430.087058794118,407.609523779762,652.810714241071,622.530909045454,384.523382396983,325.847936516208,278.89045402881,164.088083724107,0.894059410843735,0.799411980109349,0.427214884720505,0.263582227548683,944.085934521687
41,3,13,12,0,Mining,11,119,78.9915966386555,94,94,0,119,14,14,6,0,0.789915966386555,0.0504201680672269,0.117647058823529,507.539473717544,443.750458750459,615.526595785106,543.469662964045,405.476256105022,266.710240754732,364.121589379512,180.252721180671,0.798905852849345,0.601036540910293,0.591561098858894,0.331670254044329,951.87369779913
41,3,16,13,0,AB_Driving,11,158,68.9873417721519,109,109,0,158,31,31,18,0,0.689873417721519,0.113924050632911,0.19620253164557,409.041139240506,384.869281045752,592.922018348624,569.601941747573,308.500042455219,281.953160369312,168.272870526261,112.111121328816,0.754202970948183,0.732594608754432,0.283802701398956,0.196823629120456,931.426096742105
